ID,Title,Content,"Short Description",Date,"Post Type",Permalink,"Parent Product ID",Sku,Price,"Regular Price","Sale Price","Stock Status",Stock,"External Product URL","Total Sales","Attribute Name (pa_color)","Attribute Value (pa_color)","Attribute In Variations (pa_color)","Attribute Is Visible (pa_color)","Attribute Is Taxonomy (pa_color)","Attribute Name (pa_material)","Attribute Value (pa_material)","Attribute In Variations (pa_material)","Attribute Is Visible (pa_material)","Attribute Is Taxonomy (pa_material)","Attribute Name (pa_size)","Attribute Value (pa_size)","Attribute In Variations (pa_size)","Attribute Is Visible (pa_size)","Attribute Is Taxonomy (pa_size)","Attribute Name (Logo)","Attribute Value (Logo)","Attribute In Variations (Logo)","Attribute Is Visible (Logo)","Attribute Is Taxonomy (Logo)","Shipping Class","Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured","Attachment URL","Product Type","Product visibility","Product categories","Product tags","Product Visibility",Status,"Author ID","Author Username","Author Email","Author First Name","Author Last Name",Slug,Format,Template,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date",Downloadable,Virtual,"Purchase Note",Featured,Weight,Length,Width,Height,"Sale Price Dates From","Sale Price Dates To","Sold Individually","Manage Stock",Up-Sells,Cross-Sells,"Downloadable Files Paths","Downloadable Files Names","Download Limit","Download Expiry","Download Type","Button Text",Backorders,"Tax Status","Tax Class","Product Image Gallery","Default Attributes","Product Attributes","Product Version","Variation Description","Wc Rating Count","Wc Review Count","Wc Average Rating","contact us","discount title","discount season","discount value","discount date","discount image","display discount"
17,jacket,,"new jacket",2020-10-07,product,http://localhost/1/product/jacket/,0,,11,12,11,instock,,,0,color,,no,no,no,material,,no,no,no,size,,no,no,no,Logo,,no,no,no,,http://localhost/1/wp-content/uploads/2020/10/shop-1.jpg,shop-1,,,,http://localhost/1/wp-content/uploads/2020/10/shop-1.jpg,,simple,rated-4,Uncategorized,,rated-4,publish,1,eman,0e0m0a0n0@gmail.com,,,jacket,,,0,0,open,closed,2020-10-07,no,no,,no,,,,,,,no,no,,,,,'-1,'-1,,,no,taxable,standard,,,,4.5.2,,a:3:{i:2;i:1;i:4;i:1;i:5;i:1;},3,3.67,,,,,,,
28,"orange dress",,"butiful cotton dress",2020-10-07,product,http://localhost/1/product/orange-dress/,0,,54,56,54,instock,,,0,color,,no,no,no,material,,no,no,no,size,,no,no,no,Logo,,no,no,no,,http://localhost/1/wp-content/uploads/2020/10/product-3.jpg,product-3,,,,http://localhost/1/wp-content/uploads/2020/10/product-3.jpg,,simple,rated-4,women>dress,,rated-4,publish,1,eman,0e0m0a0n0@gmail.com,,,orange-dress,,,0,0,open,closed,2020-10-08,no,no,,no,,,,,,,no,no,,,,,'-1,'-1,,,no,taxable,standard,,,,4.5.2,,a:1:{i:4;i:1;},1,4.00,,,,,,,
31,"V-Neck T-Shirt","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","This is a variable product.",2020-10-07,product,http://localhost/1/product/v-neck-t-shirt/,0,woo-vneck-tee,16,16,,outofstock,,,0,color,blue|green|red,yes,yes,yes,material,,no,no,no,size,L|s,yes,yes,yes,Logo,,no,no,no,,http://localhost/1/wp-content/uploads/2020/10/vneck-tee-2.jpg|http://localhost/1/wp-content/uploads/2020/10/vnech-tee-green-1.jpg|http://localhost/1/wp-content/uploads/2020/10/vnech-tee-blue-1.jpg,vneck-tee-2.jpg|vnech-tee-green-1.jpg|vnech-tee-blue-1.jpg,||,||,||,http://localhost/1/wp-content/uploads/2020/10/vneck-tee-2.jpg,,simple,featured|outofstock,Uncategorized,,featured|outofstock,publish,1,eman,0e0m0a0n0@gmail.com,,,v-neck-t-shirt,,,0,0,open,closed,2020-10-08,no,no,,yes,,,,,,,no,no,,,,,0,0,,,no,taxable,standard,"57,58",,"a:2:{s:8:""pa_color"";a:6:{s:4:""name"";s:8:""pa_color"";s:5:""value"";s:0:"""";s:8:""position"";s:1:""0"";s:10:""is_visible"";s:1:""1"";s:12:""is_variation"";s:1:""1"";s:11:""is_taxonomy"";s:1:""1"";}s:7:""pa_size"";a:6:{s:4:""name"";s:7:""pa_size"";s:5:""value"";s:0:"""";s:8:""position"";s:1:""1"";s:10:""is_visible"";s:1:""1"";s:12:""is_variation"";s:1:""1"";s:11:""is_taxonomy"";s:1:""1"";}}",4.5.2,,,0,0,,,,,,,
32,Hoodie,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","This is a variable product.",2020-10-07,product,http://localhost/1/product/hoodie/,0,woo-hoodie,42,,,instock,,,0,color,blue|green|red,yes,yes,yes,material,,no,no,no,size,,no,no,no,Logo,,yes,yes,no,,http://localhost/1/wp-content/uploads/2020/10/hoodie-2.jpg|http://localhost/1/wp-content/uploads/2020/10/hoodie-blue-1.jpg|http://localhost/1/wp-content/uploads/2020/10/hoodie-green-1.jpg|http://localhost/1/wp-content/uploads/2020/10/hoodie-with-logo-2.jpg,hoodie-2.jpg|hoodie-blue-1.jpg|hoodie-green-1.jpg|hoodie-with-logo-2.jpg,|||,|||,|||,http://localhost/1/wp-content/uploads/2020/10/hoodie-2.jpg,,variable,rated-1,men>shirt,,rated-1,publish,1,eman,0e0m0a0n0@gmail.com,,,hoodie,,,0,0,open,closed,2020-10-16,no,no,,no,,,,,,,no,no,,,,,0,0,,,no,taxable,standard,"64,65,66",,"a:2:{s:8:""pa_color"";a:6:{s:4:""name"";s:8:""pa_color"";s:5:""value"";s:0:"""";s:8:""position"";s:1:""0"";s:10:""is_visible"";s:1:""1"";s:12:""is_variation"";s:1:""1"";s:11:""is_taxonomy"";s:1:""1"";}s:4:""logo"";a:6:{s:4:""name"";s:4:""Logo"";s:5:""value"";s:8:""Yes | No"";s:8:""position"";s:1:""1"";s:10:""is_visible"";s:1:""1"";s:12:""is_variation"";s:1:""1"";s:11:""is_taxonomy"";s:1:""0"";}}",4.5.2,,a:1:{i:1;i:1;},1,1.00,,,,,,,
33,"Hoodie with Logo","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","This is a simple product.",2020-10-07,product,http://localhost/1/product/hoodie-with-logo/,0,woo-hoodie-with-logo,45,45,,instock,,,0,color,blue,no,yes,yes,material,,no,no,no,size,,no,no,no,Logo,,no,no,no,,http://localhost/1/wp-content/uploads/2020/10/hoodie-with-logo-2.jpg,hoodie-with-logo-2.jpg,,,,http://localhost/1/wp-content/uploads/2020/10/hoodie-with-logo-2.jpg,,simple,,kids>Coat|Uncategorized,,,publish,1,eman,0e0m0a0n0@gmail.com,,,hoodie-with-logo,,,0,0,open,closed,2020-10-16,no,no,,no,,,,,,,no,no,,,,,0,0,,,no,taxable,standard,,,"a:1:{s:8:""pa_color"";a:6:{s:4:""name"";s:8:""pa_color"";s:5:""value"";s:0:"""";s:8:""position"";s:1:""0"";s:10:""is_visible"";s:1:""1"";s:12:""is_variation"";s:1:""0"";s:11:""is_taxonomy"";s:1:""1"";}}",4.5.2,,,0,0,,,,,,,
34,T-Shirt,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","This is a simple product.",2020-10-07,product,http://localhost/1/product/t-shirt/,0,woo-tshirt,18,18,,instock,,,0,color,Gray,no,yes,yes,material,,no,no,no,size,,no,no,no,Logo,,no,no,no,,http://localhost/1/wp-content/uploads/2020/10/tshirt-2.jpg,tshirt-2.jpg,,,,http://localhost/1/wp-content/uploads/2020/10/tshirt-2.jpg,,simple,,women,,,publish,1,eman,0e0m0a0n0@gmail.com,,,t-shirt,,,0,0,open,closed,2020-10-16,no,no,,no,,,,,,,no,no,,,,,0,0,,,no,taxable,standard,,,"a:1:{s:8:""pa_color"";a:6:{s:4:""name"";s:8:""pa_color"";s:5:""value"";s:0:"""";s:8:""position"";s:1:""0"";s:10:""is_visible"";s:1:""1"";s:12:""is_variation"";s:1:""0"";s:11:""is_taxonomy"";s:1:""1"";}}",4.5.2,,,0,0,,,,,,,
35,Beanie,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","This is a simple product.",2020-10-07,product,http://localhost/1/product/beanie/,0,woo-beanie,18,20,18,instock,,,0,color,red,no,yes,yes,material,,no,no,no,size,,no,no,no,Logo,,no,no,no,,http://localhost/1/wp-content/uploads/2020/10/beanie-2.jpg,beanie-2.jpg,,,,http://localhost/1/wp-content/uploads/2020/10/beanie-2.jpg,,simple,rated-3,Accessories|kids,,rated-3,publish,1,eman,0e0m0a0n0@gmail.com,,,beanie,,,0,0,open,closed,2020-10-16,no,no,,no,,,,,,,no,no,,,,,0,0,,,no,taxable,standard,,,"a:1:{s:8:""pa_color"";a:6:{s:4:""name"";s:8:""pa_color"";s:5:""value"";s:0:"""";s:8:""position"";s:1:""0"";s:10:""is_visible"";s:1:""1"";s:12:""is_variation"";s:1:""0"";s:11:""is_taxonomy"";s:1:""1"";}}",4.5.2,,a:2:{i:2;i:1;i:4;i:1;},2,3.00,,,,,,,
36,Belt,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","This is a simple product.",2020-10-07,product,http://localhost/1/product/belt/,0,woo-belt,55,65,55,instock,,,0,color,,no,no,no,material,,no,no,no,size,,no,no,no,Logo,,no,no,no,,http://localhost/1/wp-content/uploads/2020/10/belt-2.jpg,belt-2.jpg,,,,http://localhost/1/wp-content/uploads/2020/10/belt-2.jpg,,simple,rated-4,Accessories,,rated-4,publish,1,eman,0e0m0a0n0@gmail.com,,,belt,,,0,0,open,closed,2020-10-12,no,no,,no,,,,,,,no,no,,,,,0,0,,,no,taxable,standard,,,,4.5.2,,a:1:{i:4;i:1;},1,4.00,,,,,,,
37,Cap,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","This is a simple product.",2020-10-07,product,http://localhost/1/product/cap/,0,woo-cap,16,18,16,instock,,,0,color,Yellow,no,yes,yes,material,,no,no,no,size,,no,no,no,Logo,,no,no,no,,http://localhost/1/wp-content/uploads/2020/10/cap-2.jpg,cap-2.jpg,,,,http://localhost/1/wp-content/uploads/2020/10/cap-2.jpg,,simple,featured,Accessories,,featured,publish,1,eman,0e0m0a0n0@gmail.com,,,cap,,,0,0,open,closed,2020-10-08,no,no,,yes,,,,,,,no,no,,,,,0,0,,,no,taxable,standard,,,"a:1:{s:8:""pa_color"";a:6:{s:4:""name"";s:8:""pa_color"";s:5:""value"";s:0:"""";s:8:""position"";s:1:""0"";s:10:""is_visible"";s:1:""1"";s:12:""is_variation"";s:1:""0"";s:11:""is_taxonomy"";s:1:""1"";}}",4.5.2,,,0,0,,,,,,,
38,Sunglasses,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","This is a simple product.",2020-10-07,product,http://localhost/1/product/sunglasses/,0,woo-sunglasses,90,90,,instock,,,0,color,,no,no,no,material,,no,no,no,size,,no,no,no,Logo,,no,no,no,,http://localhost/1/wp-content/uploads/2020/10/sunglasses-2.jpg,sunglasses-2.jpg,,,,http://localhost/1/wp-content/uploads/2020/10/sunglasses-2.jpg,,simple,featured,Accessories,,featured,publish,1,eman,0e0m0a0n0@gmail.com,,,sunglasses,,,0,0,open,closed,2020-10-08,no,no,,yes,,,,,,,no,no,,,,,0,0,,,no,taxable,standard,,,,4.5.2,,,0,0,,,,,,,
